,Brand,Variety,Style,Country/Region,Stars,Top Ten
33,Sichuan Guangyou,Chongqing Spicy Hot Noodles,Bowl,China,4.0,
34,New Touch,Sugo-Men Kyoto Backfat Shoyu Ramen,Bowl,Japan,3.75,
35,KOKA,Instant Noodles Laksa Singapura Flavour,Pack,Singapore,5.0,
36,Lipton,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,USA,1.5,
37,KOKA,Curry Flavour Instant Noodles,Cup,Singapore,5.0,
38,Acecook,Super Cup Yochan Ika Yakisoba,Tray,Japan,1.5,
39,Nissin,Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup,Cup,USA,5.0,
40,Wei Lih,GGE Noodle Snack Wheat Crackers Mexican Spicy,Pack,Taiwan,3.25,
41,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle,Cup,Hong Kong,3.75,
42,Nissin,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,Cup,USA,5.0,
43,Nissin,Cup NoodlesTom Yam Seafood (More Shrimptacular),Cup,Singapore,5.0,
44,Lele,Instant Noodles Beef,Pack,Ghana,3.5,
45,Nissin,Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup,Cup,USA,5.0,
46,Fujiwara,Hokkaido Hakodate Shoyu Ramen,Pack,Japan,4.0,
47,Nongshim,Shin Ramyun Black,Pack,South Korea,5.0,
48,Nissin,Nippon Onomichi Ramen,Bowl,Japan,4.75,
49,Uni-President,Pickled Cabbage Beef,Pack,China,4.25,
50,Ottogi,Ppushu Ppushu Noodle Snack Honey Butter ,Pack,South Korea,2.0,
51,Maruchan,Gotsumori Chanpon Ramen,Bowl,Japan,4.5,
52,Prima,Juzz's Mee Creamy Chicken Flavour (Export Version),Pack,Singapore,5.0,
53,Uni-President,Mushroom Flavor,Pack,Vietnam,0.0,
54,Samyang Foods,Jjamppong Big Bowl,Bowl,South Korea,4.5,
55,Sokensha,Curry Udon,Pack,Japan,3.5,
56,Nissin,Straits Reborn Laksa,Pack,Singapore,5.0,
57,Nongshim,Budae Jjigae Noodle Soup,Pack,South Korea,4.5,
58,Takamori,Hearty Japanese Style Curry Udon,Pack,Japan,5.0,
59,Nissin,Cup Noodles Potato Chips Black Pepper Crab Flavour,Pack,Singapore,4.5,
60,Nissin,Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab),Cup,Singapore,5.0,
61,Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,South Korea,1.0,
62,Samurai Ramen,Umami Ramen,Pack,Japan,4.0,
63,Ikeda Shoku,Nabeyaki Tempura Udoin,Bowl,Japan,4.5,
64,Fujiwara,Hokkaido Hakodate Miso Ramen,Pack,Japan,3.5,
65,Uni-President,Man Han Feast Spicy Beef Flavor Instant Noodles,Bowl,Taiwan,5.0,
66,Ogasawara,Kirin Giraffe Shoyu Ramen,Pack,Japan,4.5,
67,Pringles,Nissin Top Ramen Chicken Flavor Potato Crisps ,Can,USA,3.5,
68,Mom's Dry Noodle,Dan Dan Noodle,Pack,Taiwan,5.0,
69,Samyang Foods,Samyang Ramen Classic Edition,Bowl,South Korea,5.0,
70,MyKuali,Penang Red Tom Yum Goong Noodle,Pack,Malaysia,5.0,
71,Maggi,Hot Heads Green Chilli Noodles,Pack,India,3.5,
72,Samyang Foods,Mala Buldak Bokkeummyun,Pack,South Korea,3.75,
73,Indomie,RMy Noodlez Rumput Laut,Pack,Indonesia,4.0,
74,KOKA,Delight Chicken Flavor Instant Non-Fried Noodles,Pack,Singapore,3.75,
75,Acecook,Super Cup Torigawa Shoyu,Bowl,Japan,3.5,
76,Nongshim,Shin Ramyun,Pack,South Korea,3.0,
77,Sichuan Guangyou,Sweet Potato Instant Noodle Sout-Hot Flavor,Bowl,China,0.0,
78,Indomie,Onion Chicken Flavor,Pack,Nigeria,1.5,
79,Happy Cook,Toona Paste Noodle,Pack,Taiwan,4.0,
80,The Ramen Rater Select,Supreme Creamy Tom Yum Noodle,Box,Malaysia,5.0,
81,KOKA,Creamy Soup With Crushed Noodles Chicken Flavor,Cup,Singapore,5.0,
82,Nissin,Demae Ramen Spicy Beef,Pack,Germany,3.75,
83,Nissin,Cup Noodles Spicy,Cup,Germany,3.75,
84,Nissin,Soba Thai,Pack,Germany,4.5,
85,Nissin,Cup Noodles Huhn (Chicken),Cup,Germany,3.75,
86,Nissin,Demae Ramen Korean Kimchi,Pack,Germany,3.5,
87,Nissin,Cup Noodles Curry,Cup,Germany,3.75,
88,Nissin,Smack Chili,Pack,Hungary,3.75,
89,Nissin,Soba Yakitori Chicken,Cup,Germany,5.0,
90,Nissin,Demae Ramen Garlic Chicken,Pack,Germany,3.5,
91,Nissin,Cup Noodles Ente (Duck),Cup,Germany,3.0,
92,Nissin,Demae Ramen Thai Tom Yum,Pack,Germany,3.75,
93,Nissin,Soba Sukiyaki Beef,Cup,Germany,4.5,
94,Nissin,Demae Ramen Spicy,Pack,Germany,3.5,
95,Nissin,Cup Noodles Shrimps,Cup,Germany,3.0,
96,Nissin,Demae Ramen Tokyo Soy Sauce,Pack,Germany,4.0,
97,Paldo,Bul Jjamppong,Bowl,South Korea,5.0,
98,TTL,Chicken With Chinese Shaoxing Wine,Pack,Taiwan,4.75,
99,Samyang Foods,Buldak Bokkeummyun,Cup,South Korea,3.75,
100,Acecook,Pork Wantan Men,Bowl,Japan,4.25,
101,E-Zee,Instant Noodles Chicken Flavour,Pack,Malaysia,4.0,
102,Kiki Noodle,Scallion Oil & Soy Sauce Noodle,Pack,Taiwan,5.0,
103,Kiki Noodle,Sichuan Spices Flavor Noodle,Pack,Taiwan,5.0,
104,Samyang Foods,Kimchi Stew Ramyun,Bowl,South Korea,4.0,
105,Maruchan,Seimen Red Spicy Dandan Men,Bowl,Japan,4.75,
106,Ottogi,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,Pack,South Korea,4.25,
107,Tokyo Noodle,Mini Instant Noodle Mild Curry Flavor,Pack,Japan,2.0,
108,GGE,Noodle Snack Wheat Cracks Seaweed Flavor,Pack,Taiwan,3.5,
109,Nissin,Cup Noodles Mini Seafood Flavour,Cup,Hong Kong,5.0,
110,Myojo,Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor,Pack,USA,3.75,
111,KOKA,Signature Curry Flavor Instant Noodles,Cup,Singapore,3.5,
112,Acecook,Dossari Yasai Chanpon,Cup,Japan,4.25,
113,Paldo,Volcano Curry Kkokkomyun,Pack,South Korea,3.5,
114,Sau Tao,Instant Noodle King Pepper Duck Flavour Soup,Pack,Hong Kong,4.0,
115,Nissin,Cup Noodles XO Sauce Seafood,Cup,China,3.75,
116,Wang,Extreme Spicy Hot Chicken Flavor Udon,Bowl,South Korea,2.0,
117,Nissin,Gekikara Ramen Rasa Pedas,Pack,Indonesia,3.25,
118,TTL,Sesame Oil Chicken Noodle With Rice Wine,Bowl,Taiwan,5.0,
119,Fujiwara,Hokkaido Hakodate Shio Ramen,Pack,Japan,4.5,
120,Daifuku,Katsuo Bowl Udon,Bowl,USA,5.0,
121,Nissin,Cup Noodles MUG Shoyu & Seafood,Pack,Japan,3.5,
122,Samyang Foods,Sari Ramen,Pack,South Korea,,
123,KOKA,Instant Noodles Chicken Satay Flavour,Pack,Singapore,3.5,
124,KOKA,Signature Spicy Singapore Fried Noodles Instant Noodles,Pack,Singapore,4.25,
125,KOKA,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Cup,Singapore,5.0,
126,KOKA,Silk Beef Pho Flavor Instant Rice Fettuccine,Bowl,Singapore,3.25,
127,KOKA,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,Singapore,4.5,
128,KOKA,Signature Laksa Singapura Instant Noodles,Bowl,Singapore,5.0,
129,KOKA,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Pack,Singapore,5.0,
130,KOKA,Purple Wheat Noodles Chili & Lime Flavor,Pack,Singapore,4.0,
131,KOKA,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,Singapore,5.0,
132,KOKA,Seafood Flavor Instant Noodles,Cup,Singapore,3.5,
133,KOKA,Signature Stir-Fry Original Flavor Instant Noodles,Pack,Singapore,3.0,
134,KOKA,Creamy Soup Witrh Crushed Noodles Curry Flavor,Cup,Singapore,5.0,
135,KOKA,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Pack,Singapore,4.25,
136,KOKA,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,Singapore,5.0,
137,KOKA,Signature Chicken Flavor Instant Noodles,Cup,Singapore,3.75,
138,Nissin,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,Cup,Mexico,3.5,
139,MyKuali,Penang Hokkien Prawn Flavor Noodle,Box,Japan,5.0,
140,Master Kong,Roasted Pork Noodle,Pack,China,4.5,
141,Uni-President,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,Taiwan,5.0,
142,World O' Noodle,Mi Goreng Original Flavour Fried Noodles,Pack,Indonesia,5.0,
143,Nissin,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,Japan,4.5,
144,Kang Shi Fu,Artificial Dongpo's Braised Pork Flavour,Pack,Hong Kong,4.75,
145,Mum Ngon,Lau Tom Chua Cay,Pack,Vietnam,3.5,
146,Happy Cook,Old Beijing Fried Bean Sauce Noodle,Pack,Taiwan,4.25,
147,Nissin,Cup Noodles Indonesia Mie Goreng,Cup,Japan,3.75,
148,Fashion Food,Yummy Spicy Rice Soup With Seafood,Bowl,Thailand,3.5,
149,Dream Kitchen,Udon Japanese Style Fresh Noodle,Bowl,USA,3.75,
150,MyKuali,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,Malaysia,5.0,
151,New Touch,T's Restaurant Sura Tanmen,Cup,Japan,4.0,
152,TTL,Sesame Oil Chicken With Rice Wine Noodle,Bowl,Taiwan,5.0,
153,Ajinatori,HALAL Chicken Shoyu Sauce Ramen,Pack,Japan,2.5,
154,Dr. McDougall's,Vegan Pad Thai Noodle Soup,Cup,USA,0.0,
155,Nissin,Seafood Flavour Rice Vermicelli,Cup,Hong Kong,5.0,
156,Samyang Foods,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,South Korea,3.75,
157,Ve Wong,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,Taiwan,3.5,
158,Nissin,Cup Noodles Sopa Nissin Con Camaron Picante,Cup,Mexico,3.25,
159,Uni-President,Baseball Snack Noodle,Pack,Taiwan,5.0,
160,Nissin,Cup Noodles Spicy Seafood Flavor,Cup,China,3.75,
161,MyKuali,Penang Red Tom Yum Goong,Box,Japan,5.0,
162,Myojo,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,Japan,4.5,
163,Super Bihun,Bihun Kuah Rasa Baso Sapi,Pack,Indonesia,3.75,
164,Xiuhe,Hot & Sour Beef Noodles,Bowl,China,4.25,
165,Nissin,Kitsune Udon Donbei (West),Bowl,Japan,5.0,
166,Little Cook,Thailand Green Curry Instant Noodle,Bowl,Taiwan,5.0,
167,Nissin,Cup Noodles Beef Flavour,Cup,Hong Kong,2.5,
168,Shirakiku,Sanukiya Udon Shrimp Flavor,Pack,USA,3.25,
169,Mama Pat's,Chicken Fajita Flavor Instant Ramen Noodles,Pack,USA,3.75,
170,Mama Pat's,Lamb Stew Flavor Instant Ramen Noodles,Pack,USA,3.75,
171,Mama Pat's,Seafood Gumbo Flavor Instant Ramen Noodles,Pack,USA,3.5,
172,Mama Pat's,Chicken Taco Flavor Instant Ramen Noodles,Pack,USA,3.75,
173,Just Way,Chuan Wei Spicy Guan-miao Noodles,Pack,Taiwan,4.5,
174,Sichuan Guangyou,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,China,0.25,
175,Nissin,Cup Noodles Mini Spicy Seafood,Cup,Hong Kong,4.0,
176,MyKuali,Penang Hokkien Prawn Noodle Soup,Pack,Singapore,5.0,
177,Goku-Uma,Yakisoba Japanese Style Noodle,Bowl,USA,4.75,
178,Maggi,Nutri-licious Pazzta Tomato Twist,Pack,India,3.75,
179,Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Bowl,China,5.0,
180,Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,5.0,
181,Indomie,My Noodles Mi Goreng Pizza Cheese,Pack,Indonesia,4.0,
182,Liang Cheng Mai,Shaanxi Cold Noodle: Mustard Spicy,Tray,China,1.0,
183,Samyang Foods,Cheese Buldak Bokkeummyun (Black),Bowl,South Korea,4.0,
184,Maggi,2 Minute Noodles Chicken Flavour,Pack,Fiji,3.25,
185,Master Kong,Chicken Flavor Instant Noolde,Pack,China,4.25,
186,Nissin,Cup Noodles Prawn Flavour,Cup,Hong Kong,3.75,
187,Ripe'n'Dry,Hokkaido Miso Ramen,Pack,Japan,3.0,
188,MyKuali,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,Malaysia,5.0,
189,Ottogi,Jin Jjambbong Spicy Seafood Ramyun,Pack,South Korea,5.0,
190,Nissin,Rice Vermicelli Pickled Vegetable Pork Flavour,Cup,Hong Kong,3.75,
191,Gefen,Imitation Chicken Flavor,Cup,USA,4.0,
192,Hua Feng,Three Fresh Delicacies Instant Noodle,Pack,China,4.25,
193,Nissin,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,Hong Kong,3.5,
194,Maggi,2 Minute Noodles Curry Flavour,Pack,Fiji,4.0,
195,Uni-President,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,Taiwan,4.75,
196,Sichuan Guangyou,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,China,4.25,
197,Nissin,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,USA,3.5,
198,Nongshim,Seaweed Instant Noodle,Cup,South Korea,0.5,
199,Nissin,Demae Iccho Seafood Flavour Instant Noodle,Cup,Hong Kong,4.75,
200,Pulmuone,Non-Fried Ramyun With Spicy Beef Broth,Pack,South Korea,3.75,
201,Nissin,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,USA,2.5,
202,Sau Tao,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,Pack,Hong Kong,4.5,
203,MyKuali,Penang White Curry Instant Noodle (Japan Version),Box,Malaysia,5.0,
204,Nissin,Disney Cuties Instant Chicken With Corn Flavour,Cup,Thailand,3.25,
205,Uni-President,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,Taiwan,5.0,
206,World O' Noodle,Mi Goreng Garlic Flavour Fried Noodles,Pack,Indonesia,4.5,
207,Nissin,Top Ramen Atta Nooldes Masala,Pack,India,4.5,
208,Liu Quan,Instant Spicy Rice Noodle,Bowl,China,4.0,
209,Daikoku,Tanuki Soba,Cup,Japan,3.5,
210,Samyang Foods,Zzaldduck Buldak Bokkeummyun Snack,Pack,South Korea,4.5,
211,Samyang Foods,Curry Buldak Bokkeummyun,Pack,South Korea,4.25,
212,Samyang Foods,Cool/Ice Buldak Bokkeummyun,Pack,South Korea,3.75,
213,Samyang Foods,2x Spicy Haek Buldak Bokkeummyun,Pack,South Korea,4.0,
214,Samyang Foods,Buldak Bokkeummyun Snack,Pack,South Korea,5.0,
215,Samyang Foods,Stew Buldak Bokkeumtangmyun,Pack,South Korea,5.0,
216,Samyang Foods,Cheese Buldak Bokkeummyun,Pack,South Korea,4.0,
217,Samyang Foods,Buldak Bokkeummyun (New Packaging),Pack,South Korea,4.0,
218,Chuan Wei Wang,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,China,4.0,
219,Nissin,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5.0,
220,Wai Wai,Instant Noodles Artificial Chicken Flavoured,Pack,India,2.0,
221,Daikoku,Kitsune Udon,Cup,Japan,2.0,
222,Sichuan Baijia,Pickled Cabbage Flavor Instant Vermicelli,Bowl,China,4.0,
223,Kamfen,Noodle King Artificial Wonton Soup Flavored,Bowl,Hong Kong,5.0,
224,Nongshim,Spicy Shrimp Cup Noodle,Cup,South Korea,4.0,
225,Marutai,Nagasaki Agodashi Shoyu Ramen,Pack,Japan,4.0,
226,Vifon,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,Bowl,Vietnam,5.0,
227,Nissin,"Cup Noodles Rich Garlic, Egg Yolk & Oxtail",Cup,Japan,4.0,
228,Uni-President,Minced Pork Flavor Instant Noodles,Pack,Taiwan,1.0,
229,1 To 3 Noodles,Chatpat Masala,Pack,India,4.0,
230,Nissin,Cup Noodles BIG XO Sauce Seafood Flavour,Cup,Hong Kong,4.0,
231,Fantastic,Noodles Chicken & Corn Flavour,Cup,Australia,3.0,
232,Ripe'n'Dry,Hokkaido Salt Ramen,Pack,Japan,3.0,
233,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,3.0,
234,Knorr,Chatt Patta Instant Noodles,Pack,Pakistan,1.0,
235,Sempio,Clam Flavor Soup Kal-guksu,Pack,South Korea,5.0,
236,Nissin,Cup Noodles Sopa Nissin Sabor A Pollo,Cup,Mexico,4.0,
237,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne,Cup,Mexico,4.0,
238,Nissin,Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen,Pack,Mexico,4.0,
239,Nissin,Cup Noodles Sopa Nissin Sabor A Carne De Res,Cup,Mexico,4.0,
240,Nissin,RapiFideo Sabor A Tomate Y Pollo,Cup,Mexico,4.0,
241,Nissin,"Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon",Cup,Mexico,3.0,
242,Nissin,Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen,Pack,Mexico,4.0,
243,Nissin,Cup Noodles Sopa Nissin Con Camaron,Cup,Mexico,3.0,
244,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante,Cup,Mexico,3.0,
245,Nissin,Cup Noodles Gourmet Sabor A Caldo De Camaron,Cup,Mexico,5.0,
246,Nissin,"Sopa Nissin Sabor Mariscos, Habanero Y Limon",Cup,Mexico,4.0,
247,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Pollo,Cup,Mexico,4.0,
248,Nissin,Sopa Nissin Sabor A Res Instantanea Tipo Ramen,Pack,Mexico,4.0,
249,Nissin,Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo,Cup,Mexico,4.0,
250,Ve Wong,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,Pack,Taiwan,4.0,
251,Patanjali,Atta Noodles Jhatpat Banao Befikr Khao,Pack,India,5.0,
252,Qin Zong,Shaanxi Cold Noot Hot & Sour Flavor,Pack,China,3.0,
253,Nissin,Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe),Cup,USA,4.0,
254,Nissin,Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle,Cup,Hong Kong,4.0,
255,Pran,Mr. Noodles Curry Flavor Instant Noodles,Pack,Bangladesh,4.0,
256,Paldo,Bul Jjajangmyeon,Pack,South Korea,5.0,
257,Ogasawara,Kirin Giraffe Shio Ramen,Pack,Japan,5.0,
258,Sapporo Ichiban,Mie Kamayama Ramen Gyukotsu Misoaji,Bowl,Japan,3.0,
259,Sau Tao,Black Pepper XO Sauce Flavour,Bowl,Hong Kong,5.0,
260,Nissin,Nupasta Bolognese Flavour Instant Noodle,Cup,Japan,4.0,
261,Nongshim,Saeutang Sabalmyeon,Bowl,South Korea,3.5,
262,Happy Cook,Sichuan Spicy Flavor,Pack,Taiwan,5.0,
263,MAMA,Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base,Bowl,Thailand,4.0,
264,Nissin,Cup Noodle Spicy Curry Chicken,Cup,Japan,5.0,
265,Goku-Uma,Ramen Noodles Miso Flavor,Bowl,USA,3.0,
266,Nissin,Cup Noodles Spicy Beef Flavour,Cup,Hong Kong,4.0,
267,Xiao Ban Mian,Sesame Oil With Garlic Flavor Thin Noodle,Pack,Taiwan,3.5,
268,Xiao Ban Mian,Traditional Shallot & Onion Oil Noodle,Pack,Taiwan,5.0,
269,Xiao Ban Mian,Sesame Sauce Matcha Noodle,Pack,Taiwan,3.8,
270,Pran,Mr. Noodles Instant Noodles Beef Flavour,Pack,Bangladesh,4.0,
271,Nissin,Cup Noodles Big Seafood Flavour,Cup,Hong Kong,4.0,
272,Fantastic,Noodles Chicken Chow Mein Flavour,Cup,Australia,4.0,
273,Ottogi,Ramyun Sabor Pollo,Pack,Mexico,4.0,
274,Nissin,Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles,Cup,Hong Kong,4.0,
275,Ajinatori,Chicken Flavor Ramen,Pack,Japan,4.0,
276,Maggi,2 Minute Noodles Masala Spicy,Pack,India,5.0,
277,Maruchan,Sopa Maruchan Sobar A Camaron,Pack,Mexico,3.0,
278,Nissin,Yakisoba,Tray,Japan,5.0,
279,Suimin,Noodle With Oriental Chicken Flavour,Cup,Australia,3.0,
280,Nissin,Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle,Pack,Hong Kong,4.0,
281,Cintan,Mi Segera Mmm... Original,Pack,Malaysia,3.0,
282,Nissin,Cup Noodles Spicy Chile Chicken (New Recipe),Cup,USA,4.0,
283,Chuan Wei Wang,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,Bowl,China,3.0,
284,Suimin,Noodles With Chicken Flavour,Cup,Australia,3.0,
285,Nissin,Cup Noodles Seafood,Cup,China,4.0,
286,Sapporo Ichiban,Tabimen AizuKitakata Gyokai Shoyu Ramen,Bowl,Japan,4.0,
287,Nissin,Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle,Pack,Hong Kong,5.0,
288,Sichuan Baijia,Chongqing Noodles Spicy Hot Flavor,Pack,China,5.0,
289,Samyang Foods,Buldak Bokkummyun Cheese Flavor,Pack,South Korea,4.0,
290,Nissin,Demae Ramen Straight Noodle Black Garlic Oil Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5.0,
291,Myojo,Shin Toyama Black Ramen,Bowl,Japan,4.0,
292,Nissin,Cup Noodles Tom Yum Goong Flavour,Cup,Hong Kong,4.0,
293,Master Kong,Artificial Abalone Crab Flavor Instant Noodle,Pack,China,0.0,
294,Kamfen,Noodle King Artificial Abalone And Chicken Soup Flavored,Bowl,Hong Kong,4.0,
295,Fantastic,Noodles Beef Flavour,Cup,Australia,3.0,
296,Nissin,Korean Kimchi Flavour Vermicelli,Cup,Hong Kong,4.0,
297,Nissin,Raoh Pork Bone Soy Soup Noodle,Pack,Japan,5.0,
298,Samyang Foods,Gold Jjamppong Fried Noodle,Pack,South Korea,5.0,
299,Nissin,Demae Iccho Red Hot Seafood Flavour Instant Noodle,Cup,Hong Kong,4.0,
300,Sichuan Baijia,Chongqing Noodles Hot & Sour Flavor,Pack,China,4.0,
301,Nissin,Demae Iccho Spicy Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5.0,
302,Nissin,Raoh Tantanmen,Pack,Japan,5.0,
303,Goku-Uma,Ramen Noodles Soy Sauce Flavor,Bowl,USA,3.0,
304,Nissin,Cup Noodles With Shrimp Ramen Noodle Soup (New Recipe),Cup,USA,3.0,
305,JML,Hot & Sour Beef Noodles,Pack,China,4.0,
306,Suimin,Noodles With Braised Beef Flavour,Cup,Australia,4.0,
307,Uni-President,A Q Bucket Noodle Korean Kimchi Flavor,Bowl,Taiwan,4.0,
308,Nissin,Demae Iccho Spicy Kimchi Pot Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,4.0,
309,Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Pack,China,5.0,
310,Samyang Foods,Fresh Bibimmyun Fried Noodle,Pack,South Korea,4.0,
311,Wai Wai,Instant Noodles Veg Masala Flavour,Pack,India,4.0,
312,Nissin,Nupasta Neapolitan Flavour Instant Noodle,Pack,Hong Kong,5.0,
313,Shirakiku,Karami Ramen Spicy Chili Flavour Japanese Style Noodle With Soup Base,Pack,USA,2.0,
314,Nissin,Disney Cuties Instant Noodle Crab Flavour,Cup,Thailand,4.0,
315,Nissin,Cup Noodles Rich Soft Shelled Turle Soup,Cup,Japan,3.0,
316,Unif Tung-I,Instant Vegetarian Beehoon Rice Vermicelli,Pack,Taiwan,1.0,
317,Sichuan Baijia,Broad Noodle Artificial Beef Flavor Hot Pot,Pack,China,4.0,
318,Dream Kitchen,Curry Flavour Instant Noodles,Cup,USA,5.0,
319,Tablemark,Tohokuno Aji Yonezawa Ramen,Bowl,Japan,4.0,
320,Uni-President,Science Noodle (X'Mas Edition),Pack,Taiwan,5.0,
321,Farmer's Heart,Pho Beef Flavor Vietnamese Rice Noodle Soup,Bowl,USA,3.75,
322,Kamfen,Instant Wonton Noodles Scallop Lobster Soup Flavour,Bowl,Hong Kong,4.3,
323,Fuku,Tom Yam Soup Instant Noodle,Pack,Hong Kong,2.3,
324,Goku-Uma,Ramen Noodles Artificially Flavored Tonkotsu,Bowl,USA,3.0,
325,Daikoku,Hiroshima Flavor Yakisoba,Tray,Japan,5.0,
